timestamp,I_nA,V_uV,R_uOhm,chip_temp_C,note,elapsed_s,current_adc_status,voltage_adc_status,control_mode,control_enabled,control_fault,control_status,target_current_mA,measured_current_mA,measured_voltage_mV,measured_resistance_ohm,target_temp_C,measured_temp_C,temperature_error_C,temperature_integral_mA,drive_mV,power_uW
2026-07-30 11:11:58.854,12182500,706766,58014832,34.258310,,0.112,0x00,0x00,TEMPERATURE,1,0,OK,12.696,11.948,693.0,57.974,40.0,33.95,6.05,6.645,271.0,8276.0
2026-07-30 11:11:59.137,12250186,710857,58028252,34.359698,,0.396,0x00,0x00,TEMPERATURE,1,0,OK,12.696,11.948,693.0,57.974,40.0,33.95,6.05,6.645,271.0,8276.0
2026-07-30 11:11:59.453,12300950,713926,58038264,34.435338,,0.712,0x00,0x00,TEMPERATURE,1,0,OK,12.696,11.948,693.0,57.974,40.0,33.95,6.05,6.645,271.0,8276.0
2026-07-30 11:11:59.653,12366754,717906,58051292,34.533764,,0.912,0x00,0x00,TEMPERATURE,1,0,OK,12.696,11.948,693.0,57.974,40.0,33.95,6.05,6.645,271.0,8276.0
2026-07-30 11:11:59.853,12416096,720891,58060980,34.606957,,1.112,0x00,0x00,TEMPERATURE,1,0,OK,12.696,11.948,693.0,57.974,40.0,33.95,6.05,6.645,271.0,8276.0
2026-07-30 11:12:00.158,12475762,724503,58072864,34.696740,,1.417,0x00,0x00,TEMPERATURE,1,0,OK,12.806,12.276,712.0,58.036,40.0,34.417,5.583,7.224,281.0,8747.0
2026-07-30 11:12:00.453,12520444,727210,58081840,34.764554,,1.712,0x00,0x00,TEMPERATURE,1,0,OK,12.806,12.276,712.0,58.036,40.0,34.417,5.583,7.224,281.0,8747.0
2026-07-30 11:12:00.653,12573250,730412,58092516,34.845211,,1.912,0x00,0x00,TEMPERATURE,1,0,OK,12.806,12.276,712.0,58.036,40.0,34.417,5.583,7.224,281.0,8747.0
2026-07-30 11:12:00.853,12612864,732815,58100612,34.906376,,2.112,0x00,0x00,TEMPERATURE,1,0,OK,12.806,12.276,712.0,58.036,40.0,34.417,5.583,7.224,281.0,8747.0
2026-07-30 11:12:01.137,12657664,735535,58109868,34.976305,,2.396,0x00,0x00,TEMPERATURE,1,0,OK,12.806,12.276,712.0,58.036,40.0,34.417,5.583,7.224,281.0,8747.0
2026-07-30 11:12:01.455,12691208,737571,58116676,35.027739,,2.713,0x00,0x00,TEMPERATURE,1,0,OK,12.806,12.276,712.0,58.036,40.0,34.417,5.583,7.224,281.0,8747.0
2026-07-30 11:12:01.655,12728120,739812,58124184,35.084462,,2.913,0x00,0x00,TEMPERATURE,1,0,OK,12.806,12.276,712.0,58.036,40.0,34.417,5.583,7.224,281.0,8747.0
2026-07-30 11:12:01.855,12755796,741493,58129904,35.127676,,3.113,0x00,0x00,TEMPERATURE,1,0,OK,12.806,12.276,712.0,58.036,40.0,34.417,5.583,7.224,281.0,8747.0
2026-07-30 11:12:02.159,12784940,743263,58135832,35.172462,,3.418,0x00,0x00,TEMPERATURE,1,0,OK,12.819,12.618,733.0,58.104,40.0,34.93,5.07,7.749,286.0,9250.0
2026-07-30 11:12:02.453,12806778,744592,58140484,35.207608,,3.712,0x00,0x00,TEMPERATURE,1,0,OK,12.819,12.618,733.0,58.104,40.0,34.93,5.07,7.749,286.0,9250.0
2026-07-30 11:12:02.653,12830746,746048,58145372,35.244537,,3.912,0x00,0x00,TEMPERATURE,1,0,OK,12.819,12.618,733.0,58.104,40.0,34.93,5.07,7.749,286.0,9250.0
2026-07-30 11:12:02.853,12848720,747140,58149012,35.272037,,4.112,0x00,0x00,TEMPERATURE,1,0,OK,12.819,12.618,733.0,58.104,40.0,34.93,5.07,7.749,286.0,9250.0
2026-07-30 11:12:03.139,12868848,748364,58153116,35.303042,,4.397,0x00,0x00,TEMPERATURE,1,0,OK,12.819,12.618,733.0,58.104,40.0,34.93,5.07,7.749,286.0,9250.0
2026-07-30 11:12:03.454,12883998,749284,58156172,35.326130,,4.712,0x00,0x00,TEMPERATURE,1,0,OK,12.819,12.618,733.0,58.104,40.0,34.93,5.07,7.749,286.0,9250.0
2026-07-30 11:12:03.653,12901168,750328,58159716,35.352905,,4.912,0x00,0x00,TEMPERATURE,1,0,OK,12.819,12.618,733.0,58.104,40.0,34.93,5.07,7.749,286.0,9250.0
2026-07-30 11:12:03.853,12914064,751113,58162392,35.373122,,5.112,0x00,0x00,TEMPERATURE,1,0,OK,12.819,12.618,733.0,58.104,40.0,34.93,5.07,7.749,286.0,9250.0
2026-07-30 11:12:04.159,12931278,752162,58166112,35.401227,,5.418,0x00,0x00,TEMPERATURE,1,0,OK,12.988,12.827,746.0,58.146,40.0,35.246,4.754,8.235,289.0,9566.0
2026-07-30 11:12:04.455,12944252,752952,58168852,35.421927,,5.713,0x00,0x00,TEMPERATURE,1,0,OK,12.988,12.827,746.0,58.146,40.0,35.246,4.754,8.235,289.0,9566.0
2026-07-30 11:12:04.653,12961514,754004,58172564,35.449971,,5.912,0x00,0x00,TEMPERATURE,1,0,OK,12.988,12.827,746.0,58.146,40.0,35.246,4.754,8.235,289.0,9566.0
2026-07-30 11:12:04.855,12974424,754792,58175352,35.471035,,6.113,0x00,0x00,TEMPERATURE,1,0,OK,12.988,12.827,746.0,58.146,40.0,35.246,4.754,8.235,289.0,9566.0
