timestamp,I_nA,V_uV,R_uOhm,chip_temp_C,note,elapsed_s,current_adc_status,voltage_adc_status,control_mode,control_enabled,control_fault,control_status,target_current_mA,measured_current_mA,measured_voltage_mV,measured_resistance_ohm,target_temp_C,measured_temp_C,temperature_error_C,temperature_integral_mA,drive_mV,power_uW
2026-08-05 10:27:12.883,299868,44985,150015888,1180.075923,,0.133,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.993,,1179.832,,,1.0,14.0
2026-08-05 10:27:13.129,299572,44939,150009264,1180.005976,,0.379,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.993,,1179.832,,,1.0,14.0
2026-08-05 10:27:13.445,299359,44904,150001616,1179.925216,,0.695,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.993,,1179.832,,,1.0,14.0
2026-08-05 10:27:13.648,300010,45003,150003568,1179.945828,,0.898,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.006,,1179.972,,,1.0,13.0
2026-08-05 10:27:13.845,300535,45079,149994384,1179.848848,,1.095,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.006,,1179.972,,,1.0,13.0
2026-08-05 10:27:14.129,300100,45016,150002064,1179.929946,,1.379,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.006,,1179.972,,,1.0,13.0
2026-08-05 10:27:14.444,299746,44965,150009360,1180.006990,,1.694,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.006,,1179.972,,,1.0,13.0
2026-08-05 10:27:14.644,299517,44930,150008144,1179.994149,,1.894,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.006,,1179.972,,,1.0,13.0
2026-08-05 10:27:14.844,299336,44902,150005920,1179.970664,,2.093,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.006,,1179.972,,,1.0,13.0
2026-08-05 10:27:15.129,300030,45004,149998608,1179.893452,,2.379,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.006,,1179.972,,,1.0,13.0
2026-08-05 10:27:15.445,300616,45091,149994912,1179.854424,,2.694,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.006,,1179.972,,,1.0,13.0
2026-08-05 10:27:15.648,300179,45024,149991168,1179.814888,,2.898,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.974,,1179.636,,,1.0,14.0
2026-08-05 10:27:15.844,299824,44974,150002816,1179.937887,,3.094,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.974,,1179.636,,,1.0,14.0
2026-08-05 10:27:16.129,299501,44928,150010144,1180.015268,,3.379,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.974,,1179.636,,,1.0,14.0
2026-08-05 10:27:16.445,299250,44888,150003328,1179.943294,,3.695,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.974,,1179.636,,,1.0,14.0
2026-08-05 10:27:16.644,299891,44987,150010528,1180.019323,,3.894,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.974,,1179.636,,,1.0,14.0
2026-08-05 10:27:16.844,300465,45069,149996736,1179.873684,,4.094,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.974,,1179.636,,,1.0,14.0
2026-08-05 10:27:17.129,300839,45123,149990944,1179.812523,,4.379,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.974,,1179.636,,,1.0,14.0
2026-08-05 10:27:17.445,301130,45167,149990928,1179.812354,,4.694,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,149.974,,1179.636,,,1.0,14.0
2026-08-05 10:27:17.648,300518,45076,149995520,1179.860844,,4.898,0x00,0x00,CURRENT,1,0,OK,0.3,0.301,45.0,149.987,,1179.771,,,1.0,14.0
2026-08-05 10:27:17.844,300040,45005,149997296,1179.879598,,5.094,0x00,0x00,CURRENT,1,0,OK,0.3,0.301,45.0,149.987,,1179.771,,,1.0,14.0
2026-08-05 10:27:18.129,299710,44954,149992640,1179.830432,,5.379,0x00,0x00,CURRENT,1,0,OK,0.3,0.301,45.0,149.987,,1179.771,,,1.0,14.0
2026-08-05 10:27:18.444,299453,44919,150002800,1179.937718,,5.694,0x00,0x00,CURRENT,1,0,OK,0.3,0.301,45.0,149.987,,1179.771,,,1.0,14.0
2026-08-05 10:27:18.644,299270,44891,150000256,1179.910854,,5.894,0x00,0x00,CURRENT,1,0,OK,0.3,0.301,45.0,149.987,,1179.771,,,1.0,14.0
2026-08-05 10:27:18.845,299086,44863,150001728,1179.926398,,6.095,0x00,0x00,CURRENT,1,0,OK,0.3,0.301,45.0,149.987,,1179.771,,,1.0,14.0
2026-08-05 10:27:19.129,299041,44857,150001568,1179.924709,,6.379,0x00,0x00,CURRENT,1,0,OK,0.3,0.301,45.0,149.987,,1179.771,,,1.0,14.0
2026-08-05 10:27:19.445,298970,44847,150005152,1179.962555,,6.695,0x00,0x00,CURRENT,1,0,OK,0.3,0.301,45.0,149.987,,1179.771,,,1.0,14.0
2026-08-05 10:27:19.648,299783,44969,150005472,1179.965934,,6.898,0x00,0x00,CURRENT,1,0,OK,0.3,0.299,45.0,149.995,,1179.853,,,1.0,13.0
2026-08-05 10:27:19.844,300393,45059,149999248,1179.900210,,7.094,0x00,0x00,CURRENT,1,0,OK,0.3,0.299,45.0,149.995,,1179.853,,,1.0,13.0
2026-08-05 10:27:20.129,300842,45127,150003216,1179.942111,,7.379,0x00,0x00,CURRENT,1,0,OK,0.3,0.299,45.0,149.995,,1179.853,,,1.0,13.0
