timestamp,I_nA,V_uV,R_uOhm,chip_temp_C,note,elapsed_s,current_adc_status,voltage_adc_status,control_mode,control_enabled,control_fault,control_status,target_current_mA,measured_current_mA,measured_voltage_mV,measured_resistance_ohm,target_temp_C,measured_temp_C,temperature_error_C,temperature_integral_mA,drive_mV,power_uW
2026-08-06 14:19:29.354,299859,44981,150007312,1179.985364,,0.388,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.009,,1180.005,,,1.0,13.0
2026-08-06 14:19:30.188,299804,44973,150008032,1179.992966,,1.222,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.009,,1180.008,,,1.0,13.0
2026-08-06 14:19:31.003,299761,44967,150008416,1179.997021,,2.037,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.009,,1180.008,,,1.0,13.0
2026-08-06 14:19:31.909,299714,44960,150008800,1180.001076,,2.943,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.009,,1180.007,,,1.0,13.0
2026-08-06 14:19:33.224,299672,44953,150008192,1179.994656,,4.257,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.009,,1180.007,,,1.0,13.0
2026-08-06 14:19:34.058,299631,44947,150007584,1179.988236,,5.092,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.009,,1180.0,,,1.0,13.0
2026-08-06 14:19:34.873,299594,44941,150007104,1179.983167,,5.907,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.009,,1180.0,,,1.0,13.0
2026-08-06 14:19:35.688,299557,44936,150007888,1179.991446,,6.722,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.009,,1180.0,,,1.0,13.0
2026-08-06 14:19:36.522,299527,44931,150008096,1179.993642,,7.556,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.009,,1179.999,,,1.0,13.0
2026-08-06 14:19:37.353,299663,44952,150008528,1179.998204,,8.387,0x00,0x00,CURRENT,1,0,OK,0.3,0.3,45.0,150.009,,1179.999,,,1.0,13.0
